id,name,city,lon,lat,date,PM2.5,row_index,col_index,proj_x,proj_y,dem,w10,d10,t2m,sp,tp,blh,e,r,u10,v10,aod_sat,ndvi
1329A,青山钢花,武汉,114.4272,30.6103,20180531,43.20967741935484,3682.0,6556.0,1722603.1148952362,243464.66642220615,31,0.9265727996826172,287.19342041015625,296.02362060546875,100662.703125,0.004638180136680603,224.7149658203125,-3.7847614294150844e-05,75.40899658203125,-0.8851815462112427,-0.27384451031684875,0.7303111553192139,3142
1330A,沌口新区,武汉,114.1525,30.4753,20180531,31.566666666666666,3704.0,6512.0,1701670.8348510296,222910.61045734969,29,0.9214460253715515,282.6466064453125,296.0823669433594,100577.125,0.003820595098659396,247.97854614257812,-4.017468017991632e-05,74.44664764404297,-0.8991014361381531,-0.20169135928153992,0.7291808128356934,2515
1331A,汉口江滩,武汉,114.3008,30.5947,20180531,29.177419354838708,3685.0,6536.0,1711902.909485892,239433.47564766122,26,0.9454528093338013,285.92303466796875,296.0730285644531,100666.8984375,0.00439484603703022,236.52926635742188,-3.8212525396374986e-05,74.89313507080078,-0.9091908931732178,-0.2593315839767456,0.7284423112869263,1699
1333A,吴家山,武汉,114.2131,30.6414,20180531,32.983870967741936,3677.0,6522.0,1703143.1188627884,243365.60389965703,21,0.8791122436523438,285.46722412109375,295.87811279296875,100599.8515625,0.004662256687879562,235.9847412109375,-3.30709335685242e-05,74.79532623291016,-0.8472863435745239,-0.23440170288085938,0.7590425610542297,2868
1334A,沉湖七壕,武汉,113.8531,30.2997,20180531,25.8,3732.0,6464.0,1679384.9849878596,197249.36312211593,21,0.6819296479225159,276.05718994140625,296.043701171875,100714.796875,0.003594767302274704,249.0995330810547,-2.8414844564395025e-05,74.83680725097656,-0.6781260371208191,-0.07192451506853104,0.7355493307113647,2452
1335A,经开区环保局,长沙,113.0833,28.2325,20180531,34.0,4063.0,6341.0,1656447.9763578747,-56542.64937391733,58,0.16965319216251373,261.67950439453125,297.2811584472656,100335.78125,0.0033269543200731277,272.5315246582031,-2.1620777260977775e-05,79.01536560058594,-0.16786640882492065,0.02455758862197399,0.6306468844413757,2823
1336A,高开区环保局,长沙,112.8872,28.2189,20180531,32.59677419354839,4065.0,6310.0,1638975.7085505568,-61410.051136520575,59,0.10961639881134033,297.55499267578125,297.0176696777344,100077.140625,0.004007984884083271,284.7143859863281,-2.451285399729386e-05,79.63336944580078,-0.09718535840511322,-0.050702668726444244,0.6532771587371826,3156
1337A,马坡岭,长沙,113.0792,28.2053,20180531,33.80645161290323,4067.0,6341.0,1656664.2395844054,-59769.08318188609,44,0.1648443341255188,265.5588073730469,297.2826232910156,100323.5234375,0.003329930594190955,272.558837890625,-2.172926724597346e-05,79.003173828125,-0.1643487960100174,0.012772108428180218,0.6309307813644409,3708
1338A,湖南师范大学,长沙,112.9394,28.19,20180531,35.38333333333333,4070.0,6318.0,1644325.0226819566,-63893.443575734054,102,0.12227229028940201,296.3793640136719,297.0821838378906,100095.3203125,0.0038557962980121374,282.090576171875,-2.386026972089894e-05,79.48158264160156,-0.109543576836586,-0.05432052165269852,0.643689751625061,5186
1339A,雨花区环保局,长沙,112.9956,28.1442,20180531,31.725806451612907,4077.0,6327.0,1650403.3390680538,-68267.65040818707,83,0.13303202390670776,286.6943664550781,297.15216064453125,100092.9375,0.003608084749430418,279.36767578125,-2.333086922590155e-05,79.27822875976562,-0.12742693722248077,-0.038208600133657455,0.6379479765892029,3660
