bathrooms,sqft_living,sqft_lot,grade,condition,waterfront,view,age,lon,lat
1.0,1.0,0.9955,1.0,0.601,0.971,0.9995,0.996,0.9115,1.0
0.9945,0.8175,0.803,0.712,0.8005,0.867,0.9955,0.9005,0.571,0.903
0.996,0.9545,0.964,0.693,0.6875,0.8255,0.306,0.7545,0.1375,0.85
0.9895,0.947,0.897,1.0,0.813,0.9445,0.993,0.998,0.9655,1.0
0.9985,0.999,0.7595,1.0,0.847,0.9055,0.988,0.9955,0.999,0.9925
1.0,0.9985,0.937,1.0,0.8295,0.949,0.9995,0.9785,0.904,0.998
0.6415,0.7475,0.957,1.0,0.3515,0.841,0.3565,0.9535,0.9945,0.9995
0.895,0.867,0.386,0.2155,0.564,0.848,0.9895,0.55,0.8485,0.9695
0.647,0.9275,0.78,0.953,0.5015,0.8905,0.987,0.883,0.849,0.99
1.0,1.0,0.9845,1.0,0.801,0.962,0.9945,0.9615,0.9805,1.0
1.0,1.0,0.892,1.0,0.844,0.9315,0.9995,0.979,0.927,1.0
0.552,0.164,0.8815,0.999,0.4545,0.714,0.9975,0.9525,0.82,0.8715
0.9995,0.9985,0.943,1.0,0.964,0.9355,0.987,0.9845,0.995,0.994
0.9985,1.0,0.9055,1.0,0.6625,0.9225,0.9975,0.9915,0.994,1.0
0.7455,0.7935,0.52,0.6025,0.362,0.893,0.985,0.517,0.4185,0.9345
0.9805,0.991,0.9635,1.0,0.5365,0.9395,0.9975,0.966,0.989,1.0
0.994,1.0,0.8465,1.0,0.576,0.9735,0.973,0.7875,0.7295,1.0
1.0,1.0,0.985,1.0,0.565,0.9485,1.0,0.9475,0.9925,0.9995
0.8935,0.9995,0.9925,1.0,0.9475,0.9305,1.0,0.928,0.9965,1.0
1.0,0.9995,0.7705,0.993,0.881,0.937,0.979,0.814,0.9485,1.0
1.0,1.0,0.927,1.0,0.832,0.955,0.999,0.962,1.0,1.0
0.987,1.0,0.994,1.0,0.958,0.962,1.0,0.9975,0.996,1.0
0.832,0.8375,0.8675,1.0,0.325,0.847,0.9905,0.661,0.8735,1.0
0.9985,0.999,0.978,1.0,0.842,0.9405,0.998,0.958,0.98,1.0
0.9995,0.9955,0.857,1.0,0.8,0.8635,0.984,0.9635,0.9985,0.9945
1.0,1.0,0.995,1.0,0.9565,0.961,0.9965,0.9985,0.9875,1.0
0.9195,0.9985,0.973,0.9945,0.8475,0.9555,0.986,0.981,0.972,1.0
0.9685,1.0,0.964,1.0,0.2255,0.9365,0.9855,0.9805,0.985,1.0
1.0,0.9895,0.753,1.0,0.828,0.901,0.998,0.889,0.908,0.999
0.997,0.9765,0.9825,0.989,0.846,0.915,0.9985,0.935,0.948,1.0
1.0,1.0,0.9965,1.0,0.844,0.969,0.9955,0.9775,0.9895,1.0
1.0,1.0,0.9935,1.0,0.8285,0.938,0.9985,0.997,0.992,1.0
0.9985,0.9385,0.9825,0.9825,0.858,0.8925,0.9975,0.6035,0.973,1.0
0.934,1.0,0.9915,1.0,0.784,0.985,0.9975,0.9895,0.9225,1.0
0.9995,1.0,0.999,1.0,0.936,0.9515,0.9945,0.995,0.9965,1.0
0.963,0.498,0.5905,0.9955,0.3385,0.69,0.482,0.7325,0.6345,0.9665
0.986,1.0,0.9125,1.0,0.921,0.895,0.516,0.9555,0.984,0.9995
0.999,0.9995,0.9895,1.0,0.5495,0.94,0.995,0.943,0.9095,1.0
